,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference
124,2018-07-19,34.74000168,35.29999924,33.56999969,33.70999908,3156100,0,0,-2.96%
125,2018-07-20,33.33000183,34.15000153,31.80999947,31.85000038,6487600,0,0,-4.44%
126,2018-07-23,32.15000153,34.56000137,32.13999939,33.75999832,5478300,0,0,5.01%
127,2018-07-24,34.52000046,34.52000046,32.09000015,33.13999939,4439300,0,0,-4.00%
128,2018-07-25,33,33.84999847,32.52000046,33.31999969,2313900,0,0,0.97%
129,2018-07-26,33.15000153,33.34000015,32.5,32.79000092,1970400,0,0,-1.09%
130,2018-07-27,34.27999878,34.52999878,33.25,33.54999924,2857500,0,0,-2.13%
131,2018-07-30,34,34.81999969,33.54000092,33.97000122,2747800,0,0,-0.09%
132,2018-07-31,33.90000153,34.40999985,33.38000107,34.31999969,2475500,0,0,1.24%
133,2018-08-01,34.52000046,34.77000046,33.50999832,33.56000137,2212300,0,0,-2.78%
134,2018-08-02,33.59000015,34.56999969,32.84999847,34.40000153,2396400,0,0,2.41%
135,2018-08-03,34.38000107,34.38000107,33.52000046,33.84999847,1750300,0,0,-1.54%
136,2018-08-07,34.08000183,34.68999863,33.86999893,34.25999832,2196900,0,0,0.53%
137,2018-08-08,34.31999969,36.45000076,34.31999969,35.81000137,3536600,0,0,4.34%
138,2018-08-09,36.25999832,37.40000153,35.91999817,37.25,3442400,0,0,2.73%
139,2018-08-10,37.40000153,37.66999817,36.52000046,37,2398300,0,0,-1.07%
140,2018-08-13,37.04999924,37.25,34.65000153,35.04000092,3361200,0,0,-5.43%
141,2018-08-14,34,34.5,32.00999832,32.15000153,5075700,0,0,-5.44%
142,2018-08-15,42,43.36999893,38.16999817,42.20000076,18390300,0,0,0.48%
143,2018-08-16,42.20000076,43.34999847,40.45999908,40.68000031,8583000,0,0,-3.60%
144,2018-08-17,40,44.22999954,39.54000092,44.18000031,8420400,0,0,10.45%
145,2018-08-20,44.81000137,49.13999939,44.56999969,49.02000046,12667300,0,0,9.40%
146,2018-08-21,50.83000183,52.47999954,48.61000061,50.25999832,12062900,0,0,-1.12%
147,2018-08-22,49.5,52.5,47.77000046,52.09999847,10547000,0,0,5.25%
